table,project,sponsors,link
0,Predictive Equipment Failure Model,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130173-predictive-equipment-failure-model
0,tidal,"CBRE, Goldman Sachs, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130206-tidal
0,FraudSignatureDetection,,https://tamudatathon2019.devpost.com/submissions/130362-fraudsignaturedetection
0,Drive-Right ,"Best use of Google Cloud, CBRE",https://tamudatathon2019.devpost.com/submissions/130411-drive-right
0,Catastrophe Forecasting ,,https://tamudatathon2019.devpost.com/submissions/130437-catastrophe-forecasting
0,BTVR,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130460-btvr
0,Walmart Store Visit Plan,Walmart Technology,https://tamudatathon2019.devpost.com/submissions/130465-walmart-store-visit-plan
0,cifar-10_CNN,,https://tamudatathon2019.devpost.com/submissions/130468-cifar-10_cnn
0,Global Stock Viewer,,https://tamudatathon2019.devpost.com/submissions/130494-global-stock-viewer
0,Neural Architecture Search for AI Safety,CBRE,https://tamudatathon2019.devpost.com/submissions/130508-neural-architecture-search-for-ai-safety
0,ConocoPhillipsHack,"Best use of Google Cloud, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130511-conocophillipshack
0,Tortilla Food Map,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130514-tortilla-food-map
0,Domain from Domain.com,Best Domain Name from Domain.com,https://tamudatathon2019.devpost.com/submissions/130520-domain-from-domain-com
0,Equipment Failure Prediction,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130524-equipment-failure-prediction
0,Fast Friday,Walmart Technology,https://tamudatathon2019.devpost.com/submissions/130525-fast-friday
0,ATX Accident Visaulization,CBRE,https://tamudatathon2019.devpost.com/submissions/130542-atx-accident-visaulization
0,eatsy,CBRE,https://tamudatathon2019.devpost.com/submissions/130560-eatsy
0,Equipment Failure Prediction: Methods and Results,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130587-equipment-failure-prediction-methods-and-results
0,ConocoPhillips Equipment Failure - DK,"Best Domain Name from Domain.com, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130590-conocophillips-equipment-failure-dk
0,"Taco or Burrito, that is the question ...",Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130593-taco-or-burrito-that-is-the-question
0,Walmart Datathon travelling salesman,Walmart Technology,https://tamudatathon2019.devpost.com/submissions/130608-walmart-datathon-travelling-salesman
0,tacovision,"Best use of Google Cloud, Goldman Sachs",https://tamudatathon2019.devpost.com/submissions/130609-tacovision
0,Walmart Best Path,Walmart Technology,https://tamudatathon2019.devpost.com/submissions/130614-walmart-best-path
0,Conoco Phillips Challenge,"Best use of Google Cloud, CBRE, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130618-conoco-phillips-challenge
0,State of the Taco Address,"Goldman Sachs, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130619-state-of-the-taco-address
0,ConocoPhilipsChallenge(hardware failure prediction),ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130621-conocophilipschallenge-hardware-failure-prediction
0,AkitaAgenda,"Best Automation Hack with UiPath, Best use of Google Cloud, Best Domain Name from Domain.com, CBRE",https://tamudatathon2019.devpost.com/submissions/130622-akitaagenda
0,Comida Correlation,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130629-comida-correlation
0,Sensor Failure Prediction with Neural Networks,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130632-sensor-failure-prediction-with-neural-networks
0,ConocoPhillips Challenge - Team Ahhggies,"Shell, Facebook, Walmart Technology, Best use of Google Cloud, CBRE, Goldman Sachs, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130634-conocophillips-challenge-team-ahhggies
0,Taco 'bout It,"Best use of Google Cloud, Best Domain Name from Domain.com, CBRE, Goldman Sachs",https://tamudatathon2019.devpost.com/submissions/130638-taco-bout-it
0,FiestaFinder,"Best use of Google Cloud, Best Domain Name from Domain.com, Goldman Sachs",https://tamudatathon2019.devpost.com/submissions/130639-fiestafinder
0,ML solution to ConocoPhillips Challenge,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130641-ml-solution-to-conocophillips-challenge
0,ConocoPhillips Challenge Notebook,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130642-conocophillips-challenge-notebook
0,ConocoPhillips Challenge (Team ENARC),"CBRE, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130643-conocophillips-challenge-team-enarc
0,Exploring Computer Science,CBRE,https://tamudatathon2019.devpost.com/submissions/130644-exploring-computer-science
0,TB Analysis and Visualizations,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130645-tb-analysis-and-visualizations
0,vivimaps,Facebook,https://tamudatathon2019.devpost.com/submissions/130646-vivimaps
0,Project Sunburn,CBRE,https://tamudatathon2019.devpost.com/submissions/130647-project-sunburn
0,Equipment failure prediction,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130649-equipment-failure-prediction
0,On the Origins of Tacos,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130651-on-the-origins-of-tacos
0,ad.value(),,https://tamudatathon2019.devpost.com/submissions/130652-ad-value
0,Auténtico,"CBRE, Goldman Sachs",https://tamudatathon2019.devpost.com/submissions/130654-autentico
0,ConocoPhilips Challenge,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130656-conocophilips-challenge
0,Taco 'Bout It!,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130657-taco-bout-it
0,ProjectAggie,CBRE,https://tamudatathon2019.devpost.com/submissions/130658-projectaggie
0,Walmart Assist,Walmart Technology,https://tamudatathon2019.devpost.com/submissions/130659-walmart-assist
0,Strategic Assessment of Food Business (Goldman Sachs),Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130660-strategic-assessment-of-food-business-goldman-sachs
0,conocophilips-equipment-fails-predictions,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130661-conocophilips-equipment-fails-predictions
0,Conoco Philips - The Strikers - 53 desk,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130662-conoco-philips-the-strikers-53-desk
0,ConocoPhillips Challenge,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130663-conocophillips-challenge
0,Passed out in aisle 5,Walmart Technology,https://tamudatathon2019.devpost.com/submissions/130664-passed-out-in-aisle-5
0,Moola,"Best Automation Hack with UiPath, Shell, Facebook, Walmart Technology, Best use of Google Cloud, Best Domain Name from Domain.com, CBRE, Goldman Sachs, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130665-moola
0,Walmart Datathon TAMU: Team AutoPath,,https://tamudatathon2019.devpost.com/submissions/130666-walmart-datathon-tamu-team-autopath
0,TacosRule,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130667-tacosrule
0,The Hamburglars Environmental Espionage,"CBRE, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130668-the-hamburglars-environmental-espionage
0,Not Just Tacos and Burritos,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130669-not-just-tacos-and-burritos
0,Spilling the Beans,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130670-spilling-the-beans
0,Best Darn Tacos,"Best Automation Hack with UiPath, Goldman Sachs",https://tamudatathon2019.devpost.com/submissions/130671-best-darn-tacos
0,Random Forest models for predicting oil drill failures,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130673-random-forest-models-for-predicting-oil-drill-failures
0,ConocoPhillips Winners,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130674-conocophillips-winners
0,Walmart Challenge,,https://tamudatathon2019.devpost.com/submissions/130675-walmart-challenge
0,ConocoPhillips Notebook,"Best Automation Hack with UiPath, Best use of Google Cloud, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130676-conocophillips-notebook
0,Suicide Data Analysis,,https://tamudatathon2019.devpost.com/submissions/130677-suicide-data-analysis
0,Taco-Burrito : A Mexican Restaurant Analysis,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130678-taco-burrito-a-mexican-restaurant-analysis
0,Datathon,,https://tamudatathon2019.devpost.com/submissions/130679-datathon
0,Predicting Equip Failures : Team Sleep Deprived,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130680-predicting-equip-failures-team-sleep-deprived
0,RRR - Regression Raccoon Restaurants,"Facebook, Best Domain Name from Domain.com, CBRE, Goldman Sachs",https://tamudatathon2019.devpost.com/submissions/130681-rrr-regression-raccoon-restaurants
0,FB_Challenge_Datathon,Facebook,https://tamudatathon2019.devpost.com/submissions/130682-fb_challenge_datathon
0,Goldman Sachs Challenge,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130683-goldman-sachs-challenge
0,Conoco Predict surface and down-hole failures,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130684-conoco-predict-surface-and-down-hole-failures
0,Data Visualization Taco Burrito,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130685-data-visualization-taco-burrito
0,"1) Road approximator, 2) Predictive Equipment Failures","Facebook, Best Domain Name from Domain.com, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130686-1-road-approximator-2-predictive-equipment-failures
0,Pregler Mann - ConocoPhillips downhole equipment failure,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130687-pregler-mann-conocophillips-downhole-equipment-failure
0,Pop_density_estimate_using_Spatial_Data_Analysis,Facebook,https://tamudatathon2019.devpost.com/submissions/130688-pop_density_estimate_using_spatial_data_analysis
0,TacoHacks,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130689-tacohacks
0,Tanzania Population Proximity to Roads,"Facebook, CBRE",https://tamudatathon2019.devpost.com/submissions/130690-tanzania-population-proximity-to-roads
0,Transforming Data Into Donations,CBRE,https://tamudatathon2019.devpost.com/submissions/130691-transforming-data-into-donations
0,Mapping Tanzania,"Facebook, Best use of Google Cloud, Best Domain Name from Domain.com, CBRE",https://tamudatathon2019.devpost.com/submissions/130692-mapping-tanzania
0,Facebook Challenge LT,Facebook,https://tamudatathon2019.devpost.com/submissions/130693-facebook-challenge-lt
0,Goldman Sachs Tacos,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130694-goldman-sachs-tacos
0,Restaurants That Sell Tacos and Burritos,"CBRE, Goldman Sachs",https://tamudatathon2019.devpost.com/submissions/130695-restaurants-that-sell-tacos-and-burritos
0,Hack the Data,"Facebook, Walmart Technology, CBRE, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130696-hack-the-data
0,Goldman Sachs Challenge  ,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130697-goldman-sachs-challenge
0,TABU,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130698-tabu
0,Pressuring Homeowners Into Cutting Their Grass,"Best use of Google Cloud, Best Domain Name from Domain.com, CBRE",https://tamudatathon2019.devpost.com/submissions/130699-pressuring-homeowners-into-cutting-their-grass
0,Map challenge,Facebook,https://tamudatathon2019.devpost.com/submissions/130700-map-challenge
0,Walmart challenge - TSP,Walmart Technology,https://tamudatathon2019.devpost.com/submissions/130701-walmart-challenge-tsp
0,Deep Money,CBRE,https://tamudatathon2019.devpost.com/submissions/130702-deep-money
0,Desperate Adelia( desperate to be a competitor) and Girls,,https://tamudatathon2019.devpost.com/submissions/130704-desperate-adelia-desperate-to-be-a-competitor-and-girls
0,Competitor1,,https://tamudatathon2019.devpost.com/submissions/130705-competitor1
0,tamu-datathon-cp-challenge,"Shell, ConocoPhillips",https://tamudatathon2019.devpost.com/submissions/130706-tamu-datathon-cp-challenge
0,WALMART PROJECT,"Facebook, Walmart Technology, Best use of Google Cloud, Best Domain Name from Domain.com",https://tamudatathon2019.devpost.com/submissions/130707-walmart-project
0,VeggieTB,"CBRE, Goldman Sachs",https://tamudatathon2019.devpost.com/submissions/130708-veggietb
0,Prediction of properties of chemical compounds,CBRE,https://tamudatathon2019.devpost.com/submissions/130709-prediction-of-properties-of-chemical-compounds
0,ConocoPhillips Datathon2019,,https://tamudatathon2019.devpost.com/submissions/130710-conocophillips-datathon2019
0,Restaurant Data Try,,https://tamudatathon2019.devpost.com/submissions/130711-restaurant-data-try
0,Analysing Taco & Burrito resturants,Goldman Sachs,https://tamudatathon2019.devpost.com/submissions/130712-analysing-taco-burrito-resturants
0,"ConocoPhillips Challenge Team Elda, Erick, Moises, Chris",ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130715-conocophillips-challenge-team-elda-erick-moises-chris
0,There's Waldo,,https://tamudatathon2019.devpost.com/submissions/130716-there-s-waldo
0,Datathon - Goldman Sachs Challenge,,https://tamudatathon2019.devpost.com/submissions/130718-datathon-goldman-sachs-challenge
0,TAMU-datathon-2019,,https://tamudatathon2019.devpost.com/submissions/130719-tamu-datathon-2019
0,Conoco_philips,ConocoPhillips,https://tamudatathon2019.devpost.com/submissions/130720-conoco_philips
0,Conocco Phillips challenge - Team Friyay,,https://tamudatathon2019.devpost.com/submissions/130722-conocco-phillips-challenge-team-friyay
0,Predictive Equipment Failures - SP,,https://tamudatathon2019.devpost.com/submissions/130723-predictive-equipment-failures-sp
